predict_date,class_id,predict_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
201712,103507,1653,831,2,1,3,3,6,AT,1.6,L,10-15W,10,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
201712,124140,579,783,2,1,1,1,6,AT,1.8,T,10-15W,12.7,1,1,1,1,2,1,130,4,230,4650,1850,1695,2050,1640,5,2700,1565,1565
201712,125403,182,761,2,3,2,2,6,AT,2,T,35-50W,45,1,1,1,1,2,1,186,4,350,5203,1878,1805,2505,1960,7,3088,1612,1626
201712,136916,256,106,3,2,2,5,6,AT,2,L,15-20W,30.3,1,1,1,1,2,1,123,4,199,4850,1825,1480,2000,1475,5,2775,1575,1560
201712,175962,1020,750,3,2,1,4,5,MT,1.4,L,10-15W,7.6,1,1,1,1,2,1,66,4,132,4475,1706,1469,1595,1115,5,2603,1460,1500
201712,186250,332,761,2,2,1,2,6,AT,1.5,L,10-15W,13.1,1,1,1,1,2,1,84,4,146,4370,1809,1461,1715,1280,5,2662,1540,1562
201712,194450,561,836,2,1,1,3,7,DCT,1.6,T,15-20W,15.2,1,1,1,1,2,1,130,4,265,4475,1850,1655,2090,1545,5,2670,1620,1631
201712,198427,317,12,3,2,1,1,5,MT,1.5,L,5-8W,5.2,1,1,1,1,2,1,80,4,140,4547,1734,1470,1620,1210,5,2600,1490,1470
201712,206765,2571,761,3,2,1,2,7,DCT,1.5,T,15-20W,17.9,1,1,1,1,2,1,119,4,250,4718,1802,1471,1770,1320,5,2700,1540,1558
201712,209945,273,814,3,2,4,4,8,AT,2,T,35-50W,40.8,2,1,1,1,2,2,150,4,270,5055,1860,1491,2230,1770,5,3108,1600,1627
201712,221795,1021,872,2,1,1,4,7,DCT,2,T,25-35W,29.9,1,1,1,1,2,2,132,4,320,4398,1841,1591,2105,1590,5,2603,1547,1555
201712,245609,238,750,2,2,1,4,5,MT,1.4,T,15-20W,18.8,1,1,1,1,2,1,96,4,225,4348,1807,1574,1850,1395,5,2680,1549,1521
201712,248352,1150,831,2,2,3,3,4,AT,1.4,L,8-10W,8.1,1,1,1,1,2,1,78.7,4,135,4120,1700,1460,1500,1087,5,2570,1511,1515
201712,249875,138,294,2,1,1,6,0,CVT,2.5,L,20-25W,19.7,1,1,1,1,2,1,137,4,233,4672,1843,1678,2030,1578,5,2705,1597,1589
201712,250658,238,450,3,2,2,2,7,DCT,1.5,T,15-20W,16.6,1,1,1,1,2,1,120,4,252,4923,1854,1470,1865,1415,5,2829,1606,1609
201712,265980,378,783,2,3,3,1,5,MT,1.5,L,5-8W,6.9,2,1,1,1,1,1,78,4,135,4360,1685,1820,1925,1325,5.00 ,2750,1425,1435
201712,270690,1565,98,2,3,3,1,5,MT,1.5,L,5WL,4.8,2,1,1,1,1,1,82,4,146.5,4415,1685,1850,1825,1256,5,2720,1420,1440
201712,281301,1102,750,3,2,2,4,7,DCT,1.8,T,25-35W,16.2,1,1,1,1,2,1,118,4,250,4870,1834,1472,2060,1520,5,2803,1577,1550
201712,281792,539,872,3,2,1,4,7,DCT,1.4,T,25-35W,21.5,1,1,1,1,2,2,110,4,250,4462,1796,1421,1795,1345,5,2629,1552,1520
201712,289386,667,813,3,2,1,5,6,AT,1.5,L,10-15W,10.5,1,1,1,1,2,1,86,4,148,4582,1795,1458,1820,1286,5,2700,1555,1560
201712,289403,171,12,2,1,1,1,6,MT,1.8,L,8-10W,10.9,1,1,1,1,2,1,98,4,170,4440,1833,1545,1695,1320,5,2700,1556,1562
201712,290854,232,537,2,1,1,5,0,CVT,2,L,15-20W,17.2,1,1,1,1,2,1,114,4,190,4585,1820,1685,2010,1525,5,2620,1580,1580
201712,291086,1232,761,3,2,2,2,6,AT,2,L,20-25W,22.1,1,1,1,1,2,1,108,4,190,4843,1856,1484,2020,1585,5,2737,1585,1588
201712,291514,185,783,2,1,3,1,5,MT,1.6,L,8-10W,8.5,1,1,1,1,2,1,92,4,160,4160,1810,1635,1645,1270,5,2560,1560,1560
201712,302513,217,864,2,1,3,1,5,MT,1.5,L,5-8W,9,1,1,1,1,2,1,88,4,143,4354,1840,1654,1705,1330,5,2610,1585,1586
201712,304458,739,106,3,2,1,5,0,CVT,1.2,T,10-15W,9.8,1,1,1,1,2,1,85,4,185,4630,1775,1480,1770,1300,5,2700,1535,1535
201712,308913,81,750,2,2,1,4,5,MT,1.6,L,15-20W,13.8,1,1,1,1,2,1,81,4,155,4445,1765,1485,1730,1220,5,2610,1517,1493
201712,321683,2628,750,3,2,1,4,6,DCT,2,T,15-20W,14.8,1,1,1,1,2,1,147,4,280,4664,1785,1480,1900,1465,5,2651,1535,1532
201712,347384,7563,831,3,2,1,3,6,MT,1.6,L,10-15W,10.7,1,1,1,1,2,1,93.8,4,155.5,4600,1780,1445,1700,1230,5,2700,1555,1568
201712,348641,1261,498,3,2,1,1,4,AT,1.5,L,8-10W,8.2,1,1,1,1,2,1,80,4,135,4579,1804,1490,1655,1280,5,2660,1548,1549
201712,349023,2105,450,3,2,1,2,6,AT,1.5,L,10-15W,12.6,1,1,1,1,2,1,80,4,141,4643,1797,1479,1778,1360,5,2685,1544,1565
201712,350259,711,750,3,2,1,4,7,DCT,1.4,T,15-20W,13.1,1,1,1,1,2,1,110,4,250,4598,1826,1425,1865,1365,5,2656,1580,1554
201712,354068,1601,692,3,2,1,5,0,CVT,1.6,L,10-15W,12.1,1,1,1,1,2,1,93,4,154,4631,1760,1503,1650,1236,5,2700,1540,1540
201712,356986,518,637,3,2,2,2,6,AT,1.5,T,20-25W,30.7,1,1,1,1,2,1,135,4,240,4873,1852,1470,1971,1561,5,2850,1590,1587
201712,360648,216,106,2,2,3,5,0,CVT,1.5,L,8-10W,7,1,1,1,1,2,1,79,4,140,4160,1700,1495,1500,1110,5,2550,1460,1460
201712,378356,961,497,3,2,1,1,5,MT,1.5,L,8-10W,7.4,1,1,1,1,2,1,85,4,141,4572,1825,1482,1640,1265,5,2670,1556,1542
201712,379265,904,290,2,2,3,7,5,MT,1.2,L,5WL,4.7,1,1,1,1,2,1,60.3,4,116,4032,1680,1450,1350,985,5,2550,1488,1478
201712,379876,329,985,3,2,1,6,6,AT,1.6,L,10-15W,9.5,1,1,1,1,2,1,86,4,150,4590,1820,1488,1740,1320,5,2675,1555,1550
201712,384924,1034,761,3,2,2,2,7,DCT,1.5,T,20-25W,31.3,1,1,1,1,2,1,120,4,252,5018,1866,1459,1960,1510,5,2905,1599,1602
201712,392593,401,497,2,1,1,1,6,MT,1.5,T,10-15W,11.5,1,1,1,1,2,1,112,4,205,4470,1837,1670,1765,1390,5,2670,1550,1550
201712,401052,165,953,2,1,1,4,7,DCT,1.6,T,25-35W,28.8,1,1,1,1,2,2,115,4,250,4431,1804,1532,1920,1482,5,2699,1553,1544
201712,409854,3656,638,2,1,1,1,6,MT,1.5,T,10-15W,11.4,1,1,1,1,2,1,110,4,210,4649,1852,1710,2059,1560,5,2680,1565,1565
201712,412240,364,783,2,1,2,1,5,MT,1.6,L,8-10W,8.3,2,1,1,1,2,1,86,4,150,4680,1800,1750,1975,1450,7,2780,1495,1505
201712,416749,295,537,2,1,3,5,0,CVT,1.8,L,10-15W,14.6,1,1,1,1,2,1,100,4,169,4270,1772,1605,1775,1295,5,2610,1540,1530
201712,425432,2694,750,3,2,1,4,6,AT,1.6,L,10-15W,14.5,1,1,1,1,2,1,81,4,155,4605,1765,1460,1755,1245,5,2610,1517,1493
201712,436105,572,836,3,2,2,3,6,AT,1.8,L,15-20W,13,1,1,1,1,2,1,105,4,176,4710,1820,1470,1860,1441,5,2770,1579,1589
201712,437598,683,638,2,1,1,1,6,AT,1.5,T,10-15W,13.3,1,1,1,1,2,1,110,4,210,4549,1835,1700,2160,1620,5,2720,1565,1565
201712,453752,336,814,3,2,2,4,8,AT,2,T,35-50W,39.1,2,1,1,1,2,2,135,4,270,4760,1811,1455,2025,1615,5,2920,1537,1576
201712,468392,387,537,3,2,2,5,0,CVT,2,L,20-25W,23.9,1,1,1,1,2,1,114,4,190,4915,1845,1470,1920,1499,5,2775,1595,1585
201712,472603,551,985,3,2,1,6,6,AT,1.6,T,10-15W,10.5,1,1,1,1,2,1,123,4,245,4750,1820,1488,1820,1415,5,2730,1555,1550
201712,481950,81,813,2,1,1,5,6,AT,2,L,15-20W,18.8,1,1,1,1,2,1,116,4,202,4633,1840,1530,1900,1450,5,2700,1584,1586
201712,482497,205,872,2,1,2,4,8,AT,2,T,35-50W,45.2,3,1,1,1,2,2,169,4,350,4629,1898,1655,2365,1900,5,2807,1617,1614
201712,492952,585,692,3,2,1,5,0,CVT,1.6,L,10-15W,12,1,1,1,1,2,1,93,4,154,4683,1780,1465,1670,1242,5,2700,1530,1530
201712,496459,950,497,2,1,3,1,5,MT,1.6,L,5-8W,8.3,1,1,1,1,2,1,93,4,160,4420,1760,1670,1733,1358,5,2510,1500,1495
201712,501564,112,807,2,1,2,1,6,AT,2,T,15-20W,20,1,1,1,1,2,1,148,4,320,4810,1910,1770,2515,1870,7,2800,1630,1632
201712,510309,130,953,2,1,2,4,9,AT,2,T,35-50W,53.2,3,1,1,1,2,2,155,4,350,4661,1898,1664,2360,1860,5,2873,1617,1613
201712,516750,244,98,2,3,3,1,5,MT,1.5,L,5-8W,7,2,1,1,1,1,1,82,4,146.5,4530,1721,1730,1850,1319,7.00 ,2720,1430,1450
201712,526401,677,836,3,2,1,3,6,AT,1.6,L,10-15W,12.7,1,1,1,1,2,1,95.3,4,157,4610,1800,1450,1780,1254,5,2700,1555,1564
201712,527765,195,236,2,2,5,1,1,AT,0,L,15-20W,17.5,1,4,3,2,2,1,30,0,150,3675,1630,1518,1360,1050,4,2360,1405,1400
201712,527809,216,953,3,2,4,4,9,AT,2,T,35-50W,64.2,2,1,1,1,2,2,180,4,370,5065,1860,1467,2330,1800,5,3079,1596,1600
201712,540712,177,12,2,1,1,1,6,MT,2,L,15-20W,10.6,1,1,1,1,2,1,104,4,178,4519,1831,1694,1925,1550,5,2670,1560,1550
201712,559132,180,692,3,2,2,5,0,CVT,2,L,20-25W,17.4,1,1,1,1,2,1,110,4,195,4891,1830,1490,1870,1466,5,2775,1585,1585
201712,560265,354,923,2,3,3,1,5,MT,1.5,L,5-8W,6.5,2,1,1,1,1,1,85,4,150,4440,1700,1783,1790,1270,6.00 ,2790,1420,1440
201712,569154,479,638,2,1,3,1,6,MT,1.5,T,8-10W,9.9,1,1,1,1,2,1,110,4,210,4195,1772,1617,1840,1391,5,2550,1531,1524
201712,576298,514,304,2,3,2,1,5,MT,1.6,L,5-8W,6.4,2,1,1,1,2,1,83,4,138,5055,1695,1960,2160,1560,7.00 ,3000,1445,1420
201712,580470,1032,750,3,2,1,4,6,AT,1.6,L,10-15W,13.2,1,1,1,1,2,1,81,4,155,4562,1793,1468,1740,1260,5,2614,1518,1525
201712,580634,312,692,2,2,1,5,0,CVT,1.6,L,10-15W,12.6,1,1,1,1,2,1,93,4,154,4393,1766,1524,1625,1224,5,2700,1540,1540
201712,587678,593,537,2,1,3,5,0,CVT,1.5,L,15-20W,14.3,1,1,1,1,2,1,96,4,155,4294,1772,1605,1770,1204,5,2610,1535,1540
201712,591790,288,106,3,2,1,5,0,CVT,1.6,L,10-15W,13.4,1,1,1,1,2,1,90,4,154,4630,1775,1480,1770,1270,5,2700,1535,1535
201712,597927,1069,831,3,2,2,3,6,AT,2,L,15-20W,21.9,1,1,1,1,2,1,118,4,193,4855,1860,1475,1940,1501,5,2805,1602,1609
201712,603972,476,872,3,2,4,4,0,CVT,2.5,L,50-75W,54.4,1,1,1,1,2,2,150,6,250,5036,1874,1480,2300,1800,5,3012,1630,1620
201712,614059,297,953,3,2,2,4,7,AT,2,T,35-50W,38.3,2,1,1,1,2,2,135,4,300,4783,1810,1442,2120,1658,5,2920,1563,1545
201712,619401,353,12,2,1,1,1,5,MT,1.8,L,8-10W,8.8,1,1,1,1,2,1,98,4,170,4500,1834,1707,1808,1433,5,2661,1560,1560
201712,621073,3065,98,2,3,3,1,5,MT,1.5,L,5WL,4.5,2,1,1,1,1,1,82,4,146.5,4400,1680,1770,1825,1305,7.00 ,2720,1420,1440
201712,628041,938,750,2,2,1,4,7,DCT,1.4,T,15-20W,13.8,1,1,1,1,2,1,96,4,225,4255,1799,1452,1760,1280,5,2637,1549,1520
201712,649213,153,75,3,2,2,2,8,AT,2,T,25-35W,26.9,2,1,1,1,2,2,200,4,400,4730,1824,1426,1996,1600,5,2860,1535,1578
201712,651347,312,537,2,2,3,5,0,CVT,1.5,L,8-10W,8.6,1,1,1,1,2,1,96,4,155,4065,1695,1525,1500,1078,5,2530,1480,1465
201712,651782,164,75,3,2,4,2,6,AT,2,T,35-50W,27.5,1,1,1,1,2,2,193,4,400,5131,1852,1502,2260,1840,5,2837,1580,1591
201712,654134,2282,290,2,1,1,7,6,MT,1.8,T,8-10W,8.6,1,1,1,1,2,1,110,4,230,4620,1820,1750,1850,1435,5,2750,1554,1549
201712,671482,188,637,2,1,3,2,6,DCT,1.5,L,10-15W,8.1,1,1,1,1,2,1,83,4,140,4280,1785,1658,1670,1295,5,2530,1527,1533
201712,682651,236,872,3,2,2,4,7,DCT,2,T,35-50W,37,1,1,1,1,2,2,140,4,320,4818,1843,1432,2015,1565,5,2908,1566,1549
201712,683364,89,236,2,1,1,1,0,CVT,1.5,T,10-15W,11.9,1,1,1,1,2,1,110,4,210,4451,1845,1675,1900,1460,5,2670,1540,1540
201712,692703,905,807,2,1,1,1,6,MT,1.5,T,10-15W,11.4,1,1,1,1,2,1,112,4,235,4510,1852,1677,1900,1500,5,2650,1575,1570
201712,693436,285,12,3,2,1,1,6,MT,1.8,L,10-15W,7.6,1,1,1,1,2,1,98,4,170,4725,1802,1478,1695,1320,5,2700,1551,1546
201712,713651,186,537,3,2,1,5,0,CVT,1.5,T,10-15W,17,1,1,1,1,2,1,130,4,220,4649,1800,1416,1730,1326,5,2700,1547,1563
201712,714152,755,750,2,1,1,4,6,DCT,1.4,T,25-35W,21.6,1,1,1,1,2,1,110,4,250,4506,1809,1685,1995,1545,5,2684,1569,1571
201712,714860,510,831,3,2,2,3,6,AT,1.8,L,10-15W,14.1,1,1,1,1,2,1,105,4,176,4720,1815,1465,1860,1459,5,2770,1579,1589
201712,732758,161,814,2,1,1,4,6,AT,1.5,T,25-35W,29,1,1,1,1,2,2,111,3,220,4565,1821,1624,2035,1550,5,2780,1561,1562
201712,735971,3870,761,3,2,1,2,6,AT,1.5,L,10-15W,10.8,1,1,1,1,2,1,81,4,143,4587,1798,1463,1690,1255,5,2640,1538,1541
201712,736094,675,783,2,3,3,1,5,MT,1.5,L,5-8W,5.8,1,1,1,1,2,1,84,4,148,4465,1725,1685,1820,1295,6.00 ,2680,1460,1470
201712,739296,2370,290,2,3,3,7,5,MT,1.5,L,5-8W,6.1,1,1,1,1,2,1,82,4,146.5,4710,1785,1715,1920,1435,6.00 ,2750,1530,1525
201712,741152,1118,761,2,1,1,2,7,DCT,1.5,T,20-25W,27.8,1,1,1,1,2,1,119,4,250,4667,1839,1660,2050,1575,5,2750,1584,1588
201712,745137,1673,637,3,2,1,2,6,DCT,1.6,L,10-15W,10.8,1,1,1,1,2,1,94,4,159,4534,1823,1483,1711,1336,5,2648,1553,1544
201712,750340,399,864,2,1,1,1,5,AT,1.5,T,10-15W,10.6,1,1,1,1,2,1,115,4,215,4530,1900,1700,1920,1545,5,2700,1601,1602
201712,786351,846,836,3,2,1,3,6,AT,1.6,L,10-15W,8.4,1,1,1,1,2,1,93.8,4,155.5,4570,1775,1445,1650,1275,5,2700,1549,1562
201712,819061,1037,831,2,1,1,3,6,AT,2,L,15-20W,13,1,1,1,1,2,1,121,4,199,4450,1855,1635,1980,1470,5,2640,1614,1615
201712,851857,304,75,2,1,2,2,8,AT,2,T,25-35W,35.3,1,1,1,1,2,2,179,4,400,4812,1903,1680,2275,1795,5,2857,1645,1645
201712,854079,252,537,3,2,1,5,0,CVT,1.8,L,10-15W,10.1,1,1,1,1,2,1,100,4,169,4664,1750,1505,1685,1275,5,2650,1500,1485
201712,871642,309,637,2,1,1,2,6,AT,1.5,T,20-25W,25.2,1,1,1,1,2,1,135,4,240,4524,1838,1685,1967,1592,5,2640,1563,1565
201712,883691,435,750,3,2,2,4,7,DCT,1.8,T,20-25W,24,1,1,1,1,2,1,132,4,300,4866,1832,1464,2000,1500,5,2871,1584,1570
201712,905745,355,761,2,1,3,2,6,AT,1.4,T,10-15W,14.8,1,1,1,1,2,1,103,4,200,4278,1781,1648,1840,1430,5,2555,1540,1540
201712,914348,623,750,2,2,3,4,6,AT,1.6,L,10-15W,10.7,1,1,1,1,2,1,81,4,155,3970,1682,1462,1600,1120,5,2470,1463,1456
201712,923841,642,450,3,2,2,2,6,AT,1.5,T,15-20W,13.8,1,1,1,1,2,1,120,4,250.3,4855,1854,1476,1960,1520,5,2737,1585,1587
201712,924154,2502,637,3,2,1,2,6,AT,1.5,L,10-15W,8.8,1,1,1,1,2,1,85,4,142,4587,1825,1490,1675,1300,5,2687,1562,1548
201712,948936,238,512,2,1,1,1,5,MT,1.5,L,5-8W,6.7,2,1,1,1,2,1,83,4,150,4520,1790,1750,1960,1435,6月7日,2700,1450,1480
201712,950264,1268,498,2,1,1,1,7,DCT,1.5,T,15-20W,11,1,1,1,1,2,1,124,4,250,4545,1855,1690,1876,1501,5,2700,1574,1593
201712,953842,2783,831,2,1,1,3,7,DCT,1.6,T,15-20W,16.9,1,1,1,1,2,1,130,4,265,4480,1855,1645,2090,1576,5,2670,1625,1636
201712,961962,402,750,3,2,1,4,6,AT,1.6,L,8-10W,9.6,1,1,1,1,2,1,81,4,155,4487,1706,1470,1650,1160,5,2603,1460,1500
201712,963845,918,836,2,1,3,3,6,AT,1.6,L,10-15W,14.3,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1622,1752,1341,5,2590,1557,1570
201712,973106,68,537,2,1,2,5,9,AT,2,T,25-35W,27,3,1,1,1,2,1,200,4,370,4816,1942,1669,2295,1881,5,2820,1652,1671
201712,978089,1042,12,3,2,1,1,0,CVT,1.5,L,5-8W,8.3,1,1,1,1,2,1,80,4,140,4631,1789,1470,1640,1265,5,2650,1502,1492
